C-ZLFMONAT-0,C-ZLFE32-0,C-ZLFART-0,C-ZLFR63-0,F-ZLFFLUG,F-ZLFPAX,F-ZLFFRACHT,F-ZLFPOST,F-ZLFPAXEND,Jahr,Monat
200009,SZG,2,3,0,3790,0,0,0,2000,9
200010,VIE,1,1,7571,469721,5334433,291074,0,2000,10
200010,VIE,1,2,7589,490721,5831130,461934,490721,2000,10
200010,VIE,1,3,0,9206,364268,13219,0,2000,10
200010,VIE,2,1,614,61589,269803,36,0,2000,10
200010,VIE,2,2,594,47577,222252,0,47577,2000,10
200010,VIE,2,3,0,3012,69389,42,0,2000,10
200010,GRZ,1,1,633,21486,82050,0,0,2000,10
200010,GRZ,1,2,631,22189,55220,0,22189,2000,10
200010,GRZ,1,3,0,217,0,0,0,2000,10
200010,GRZ,2,1,164,12251,47196,0,0,2000,10
200010,GRZ,2,2,168,9965,47368,0,9965,2000,10
200010,GRZ,2,3,0,2886,0,0,0,2000,10
200010,INN,1,1,631,15143,31292,8835,0,2000,10
200010,INN,1,2,629,15932,26975,7372,15932,2000,10
200010,INN,1,3,0,671,0,0,0,2000,10
200010,INN,2,1,96,7945,1046,0,0,2000,10
200010,INN,2,2,102,6192,1359,0,6192,2000,10
200010,INN,2,3,0,1216,0,0,0,2000,10
200010,KLU,1,1,324,7919,3183,0,0,2000,10
200010,KLU,1,2,327,8346,2247,0,8346,2000,10
200010,KLU,2,1,34,1821,0,0,0,2000,10
200010,KLU,2,2,31,1021,0,0,1021,2000,10
200010,KLU,2,3,0,443,0,0,0,2000,10
200010,LNZ,1,1,599,15232,15935,4517,0,2000,10
200010,LNZ,1,2,599,15962,4733,28,15962,2000,10
200010,LNZ,1,3,0,1456,8,0,0,2000,10
200010,LNZ,2,1,211,13813,81374,0,0,2000,10
200010,LNZ,2,2,210,11265,49149,0,11265,2000,10
200010,LNZ,2,3,0,1568,96325,0,0,2000,10
200010,SZG,1,1,703,20167,19545,7525,0,2000,10
200010,SZG,1,2,705,21622,9938,6290,21622,2000,10
200010,SZG,1,3,0,2522,30,334,0,2000,10
200010,SZG,2,1,154,16001,301,0,0,2000,10
200010,SZG,2,2,155,15630,270,0,15630,2000,10
200010,SZG,2,3,0,3132,0,0,0,2000,10
200011,VIE,1,1,7235,412163,4770868,329128,0,2000,11
200011,VIE,1,2,7252,403095,5979169,515762,403095,2000,11
200011,VIE,1,3,0,7434,317159,11825,0,2000,11
200011,VIE,2,1,319,24484,248020,0,0,2000,11
200011,VIE,2,2,305,21770,221199,79,21770,2000,11
200011,VIE,2,3,0,2073,51540,1259,0,2000,11
200011,GRZ,1,1,617,20191,73816,0,0,2000,11
200011,GRZ,1,2,620,19520,69315,0,19520,2000,11
200011,GRZ,1,3,0,331,1491,0,0,2000,11
200011,GRZ,2,1,78,4149,13700,0,0,2000,11
200011,GRZ,2,2,75,3877,48243,0,3877,2000,11
200011,GRZ,2,3,0,521,0,0,0,2000,11
200011,INN,1,1,583,14757,24470,7915,0,2000,11
200011,INN,1,2,579,14646,22137,7553,14646,2000,11
200011,INN,1,3,0,0,0,30,0,2000,11
200011,INN,2,1,29,1489,0,0,0,2000,11
200011,INN,2,2,33,853,0,0,853,2000,11
200011,INN,2,3,0,377,0,0,0,2000,11
200011,KLU,1,1,318,7512,1789,0,0,2000,11
200011,KLU,1,2,316,7522,880,0,7522,2000,11
200011,KLU,2,1,6,152,0,0,0,2000,11
200011,KLU,2,2,7,157,0,0,157,2000,11
200011,LNZ,1,1,510,15338,15194,4268,0,2000,11
200011,LNZ,1,2,513,15080,3045,0,15080,2000,11
200011,LNZ,1,3,0,1162,105,0,0,2000,11
200011,LNZ,2,1,135,6361,70726,0,0,2000,11
200011,LNZ,2,2,129,5595,49539,0,5595,2000,11
200011,LNZ,2,3,0,498,94134,0,0,2000,11
200011,SZG,1,1,577,15981,15209,6307,0,2000,11
200011,SZG,1,2,570,15351,10314,6854,15351,2000,11
200011,SZG,1,3,0,1608,9,0,0,2000,11
200011,SZG,2,1,87,9339,896,0,0,2000,11
200011,SZG,2,2,93,6722,0,0,6722,2000,11
200011,SZG,2,3,0,1484,0,0,0,2000,11
200012,VIE,1,1,6747,383374,4621611,330658,0,2000,12
200012,VIE,1,2,6739,387308,5642335,716132,387308,2000,12
200012,VIE,1,3,0,8109,290256,15622,0,2000,12
200012,VIE,2,1,313,21177,251282,0,0,2000,12
200012,VIE,2,2,307,22257,239535,158,22257,2000,12
200012,VIE,2,3,0,1096,41549,98,0,2000,12
200012,GRZ,1,1,553,16376,66106,0,0,2000,12
200012,GRZ,1,2,550,16209,52843,0,16209,2000,12
200012,GRZ,1,3,0,143,0,0,0,2000,12
200012,GRZ,2,1,55,2762,30577,0,0,2000,12
200012,GRZ,2,2,58,2965,44602,0,2965,2000,12
200012,GRZ,2,3,0,669,0,0,0,2000,12
200012,INN,1,1,560,16137,19294,10802,0,2000,12
200012,INN,1,2,557,13791,19827,13217,13791,2000,12
200012,INN,1,3,0,18,0,0,0,2000,12
200012,INN,2,1,85,8568,0,0,0,2000,12
200012,INN,2,2,86,4016,0,0,4016,2000,12
200012,INN,2,3,0,193,0,0,0,2000,12
200012,KLU,1,1,298,7349,1986,0,0,2000,12
200012,KLU,1,2,298,6492,3181,0,6492,2000,12
200012,KLU,2,1,9,202,0,0,0,2000,12
200012,KLU,2,2,11,165,0,0,165,2000,12
200012,LNZ,1,1,475,12028,12713,4132,0,2000,12
200012,LNZ,1,2,472,12075,2031,0,12075,2000,12
200012,LNZ,1,3,0,1031,42149,0,0,2000,12
200012,LNZ,2,1,115,3924,84741,0,0,2000,12
200012,LNZ,2,2,120,3837,34421,0,3837,2000,12
200012,LNZ,2,3,0,339,32307,0,0,2000,12
200012,SZG,1,1,558,16930,14749,7817,0,2000,12
200012,SZG,1,2,552,14698,8787,11617,14698,2000,12
200012,SZG,1,3,0,1078,31,0,0,2000,12
200012,SZG,2,1,162,21378,2415,0,0,2000,12
200012,SZG,2,2,167,14518,781,0,14518,2000,12
200012,SZG,2,3,0,2196,0,0,0,2000,12
200101,VIE,1,1,7087,356531,4232254,288403,0,2001,1
200101,VIE,1,2,7112,363657,4345240,455870,363657,2001,1
200101,VIE,1,3,0,7522,266582,12424,0,2001,1
200101,VIE,2,1,273,17568,220412,0,0,2001,1
