F-ZLFFLUG,F-ZLFPAX,F-ZLFFRACHT,F-ZLFPOST,F-ZLFPAXEND,Jahr,Monat
277,24284,42828,0,24284,2001,9
0,2684,72378,0,0,2001,9
594,26212,14803,819,0,2001,9
584,25605,6624,7461,25605,2001,9
0,1420,111,0,0,2001,9
353,36732,1130,0,0,2001,9
363,37343,124,0,37343,2001,9
0,4241,0,0,0,2001,9
7334,413549,4499290,270858,0,2001,10
7316,425912,4977081,511246,425912,2001,10
0,4596,439586,8418,0,2001,10
557,53476,257229,280,0,2001,10
564,41132,204512,0,41132,2001,10
0,1253,31559,0,0,2001,10
509,18257,55174,0,0,2001,10
506,18904,28454,0,18904,2001,10
0,285,966,0,0,2001,10
122,8687,5738,0,0,2001,10
127,6794,0,0,6794,2001,10
0,2494,0,0,0,2001,10
392,11899,19460,3951,0,2001,10
388,12291,24121,8066,12291,2001,10
0,39,0,0,0,2001,10
94,6789,0,0,0,2001,10
103,5386,136,0,5386,2001,10
0,1107,0,0,0,2001,10
257,6694,1882,0,0,2001,10
257,7381,1423,0,7381,2001,10
30,1587,0,0,0,2001,10
30,1078,0,0,1078,2001,10
0,577,0,0,0,2001,10
430,12143,12403,5103,0,2001,10
429,12302,3165,688,12302,2001,10
0,1391,0,0,0,2001,10
194,13826,51651,0,0,2001,10
195,11443,46004,0,11443,2001,10
0,931,57973,0,0,2001,10
578,20498,12704,180,0,2001,10
573,22258,4706,3780,22258,2001,10
0,1396,18,0,0,2001,10
159,17779,1315,41,0,2001,10
163,15248,356,0,15248,2001,10
0,2461,0,0,0,2001,10
6929,375124,4274501,302150,0,2001,11
6911,364060,4365263,541316,364060,2001,11
0,2755,419209,3359,0,2001,11
310,22870,280014,395,0,2001,11
335,19145,212463,50,19145,2001,11
0,3378,48776,38,0,2001,11
525,17829,48389,0,0,2001,11
524,17511,23998,0,17511,2001,11
0,0,150,0,0,2001,11
68,3283,42683,0,0,2001,11
68,2717,84015,0,2717,2001,11
0,716,0,0,0,2001,11
366,11243,17990,2798,0,2001,11
370,11462,26312,7359,11462,2001,11
0,4,0,0,0,2001,11
32,1525,0,127,0,2001,11
24,492,0,0,492,2001,11
0,216,0,0,0,2001,11
244,6059,2115,0,0,2001,11
242,5942,738,0,5942,2001,11
2,0,0,0,0,2001,11
4,0,912,0,0,2001,11
420,11335,9582,3083,0,2001,11
425,11404,1845,0,11404,2001,11
0,1015,11,0,0,2001,11
95,4608,54895,0,0,2001,11
92,3269,39948,0,3269,2001,11
0,125,66865,224,0,2001,11
